YEAR,STATE/UT,MURDER CASES,RAPE CASES,KIDNAPPING CASES,DACOITY CASES,ROBBERY CASES,BURGLARY CASES,THEFTS CASES,RIOTS,CHEATING CASES,ARSON,DOWRY DEATHS,OTHER CRIMES,TOTAL CRIMES
2001,ANDHRA PRADESH,4293,1742,2364,223,629,7220,33502,3001,5391,872,420,34344,94001
2001,ARUNACHAL PRADESH,139,66,166,24,84,248,886,24,30,13,0,618,2298
2001,ASSAM,1877,1634,2960,546,687,2423,10734,2953,575,441,59,9315,34204
2001,BIHAR,7312,1776,4318,1438,2203,3233,19402,8606,1659,502,859,36667,87975
2001,CHHATTISGARH,1454,1918,414,106,338,4144,9624,871,402,215,70,15790,35346
2001,GOA,71,24,18,7,25,359,1152,64,62,16,2,697,2497
2001,GUJARAT,1857,572,1996,346,991,5142,31668,1930,1779,449,67,50719,97516
2001,HARYANA,1326,796,898,218,397,3109,12234,750,1016,203,285,15906,37138
2001,HIMACHAL PRADESH,205,248,252,4,28,844,1200,628,146,134,10,6052,9751
2001,JAMMU & KASHMIR,2582,338,1212,24,161,1345,3838,1072,391,437,13,9046,20459
2001,JHARKHAND,2516,1134,882,684,647,1266,7654,2018,554,165,217,8777,26514
2001,KARNATAKA,3175,586,1118,214,847,6394,25736,6686,2678,352,220,47301,95307
2001,KERALA,1198,1124,366,189,517,4474,10882,8108,2756,768,27,54544,84953
2001,MADHYA PRADESH,5420,5702,1912,296,1764,13549,40526,3395,1413,1014,609,85143,160743
2001,MAHARASHTRA,4394,2604,1970,857,2239,15073,79732,6719,4273,1208,308,42963,162340
2001,MANIPUR,382,40,188,37,19,75,434,131,66,64,0,1097,2533
2001,MEGHALAYA,213,52,110,100,125,170,542,8,29,26,0,511,1886
2001,MIZORAM,51,104,4,3,23,417,1756,3,71,24,0,499,2955
2001,NAGALAND,149,34,46,11,129,163,516,2,34,1,0,363,1448
2001,ODISHA,2191,1580,1044,221,958,3093,11244,1426,681,423,294,20810,43965
2001,PUNJAB,1607,596,1026,129,131,1902,6046,1,2621,63,159,9204,23485
2001,RAJASTHAN,3245,2098,5436,100,889,7284,33878,11214,6644,1092,376,62347,134603
2001,SIKKIM,37,16,12,0,3,76,148,3,13,1,0,166,475
2001,TAMIL NADU,3885,846,1904,164,672,5965,33418,5196,2139,980,191,76468,131828
2001,TRIPURA,265,204,186,26,63,198,518,138,17,31,16,855,2517
2001,UTTAR PRADESH,16751,3916,8660,943,3825,8411,54022,7343,5363,812,2211,57839,170096
2001,UTTARAKHAND,633,148,366,35,191,533,2838,440,318,30,56,2227,7815
2001,WEST BENGAL,2624,1418,1750,695,660,426,28490,3095,1216,102,265,25260,66001
2001,A & N ISLANDS,13,6,4,0,4,64,130,13,8,4,0,323,569
2001,CHANDIGARH,31,36,112,5,22,364,3058,91,155,5,3,914,4796
2001,D & N HAVELI,5,12,8,0,2,34,90,4,12,1,0,183,351
2001,DAMAN & DIU,12,0,10,0,0,43,80,23,9,3,0,73,253
2001,DELHI UT,2240,1524,6508,244,1248,6058,77104,330,4366,100,226,44000,143948
2001,LAKSHADWEEP,1,0,0,0,0,1,20,1,0,2,0,17,42
2001,PUDUCHERRY,58,18,8,1,4,111,1056,100,23,31,1,2324,3735
2002,ANDHRA PRADESH,4334,2004,2604,200,648,7628,38444,2140,6733,991,449,36385,102560
2002,ARUNACHAL PRADESH,105,76,114,22,96,249,790,21,29,20,0,684,2206
2002,ASSAM,1787,1940,3190,491,607,2504,11110,3014,719,438,70,8575,34445
2002,BIHAR,7634,2080,4722,1430,2288,3188,20290,8675,1811,600,927,39145,92790
2002,CHHATTISGARH,1321,1984,356,150,326,3731,8604,817,393,235,85,17576,35578
2002,GOA,32,18,8,0,17,217,570,43,49,17,1,428,1400
2002,GOA,54,24,18,5,24,376,992,79,78,25,2,780,2457
2002,GUJARAT,2304,534,2030,816,1098,5327,31484,3665,1457,1915,62,50612,101304
2002,HARYANA,1336,722,854,223,330,3048,11924,700,933,199,256,16854,37379
2002,HIMACHAL PRADESH,215,274,276,1,18,710,1128,646,137,145,6,6921,10477
2002,JAMMU & KASHMIR,2319,384,1348,42,163,1321,4040,996,382,386,18,9390,20789
2002,JHARKHAND,2746,1594,936,635,780,1419,8748,2281,441,167,275,12969,32991
2002,KARNATAKA,3258,584,1290,244,972,6480,27636,6838,2764,437,233,50508,101244
2002,KERALA,1226,998,324,141,610,4624,11486,8090,2924,452,17,55094,85986
2002,MADHYA PRADESH,5453,5782,1928,278,1829,13344,41518,3178,1240,1053,674,94923,171200
